,precision,recall,f1-score,support
deli,0.9876543209876543,1.0,0.9937888198757764,80.0
concert_hall,0.9746835443037974,0.9506172839506173,0.9625,81.0
gameroom,0.9620253164556962,0.95,0.9559748427672956,80.0
fastfood_restaurant,0.9487179487179487,0.961038961038961,0.9548387096774195,77.0
bookstore,0.9487179487179487,0.925,0.9367088607594937,80.0
waitingroom,0.96,0.9,0.9290322580645162,80.0
lobby,0.9722222222222222,0.8860759493670886,0.9271523178807947,79.0
restaurant_kitchen,0.926829268292683,0.926829268292683,0.926829268292683,82.0
gym,0.9852941176470589,0.8589743589743589,0.9178082191780821,78.0
closet,0.8823529411764706,0.9493670886075949,0.9146341463414634,79.0
restaurant,0.922077922077922,0.8987341772151899,0.9102564102564102,79.0
kitchen,0.9135802469135802,0.9024390243902439,0.9079754601226994,82.0
trainstation,0.8809523809523809,0.9367088607594937,0.9079754601226993,79.0
computerroom,0.922077922077922,0.8875,0.9044585987261146,80.0
inside_subway,0.9459459459459459,0.8641975308641975,0.903225806451613,81.0
livingroom,0.891566265060241,0.9135802469135802,0.9024390243902438,81.0
inside_bus,0.9102564102564102,0.8875,0.8987341772151898,80.0
meeting_room,0.9577464788732394,0.8395061728395061,0.8947368421052632,81.0
church_inside,0.92,0.8625,0.8903225806451613,80.0
florist,0.9066666666666666,0.8607594936708861,0.8831168831168831,79.0
locker_room,0.8522727272727273,0.9146341463414634,0.8823529411764706,82.0
buffet,0.8505747126436781,0.9024390243902439,0.8757396449704142,82.0
bedroom,0.8452380952380952,0.8987341772151899,0.8711656441717791,79.0
prisoncell,0.8717948717948718,0.8607594936708861,0.8662420382165605,79.0
hairsalon,0.8433734939759037,0.8860759493670886,0.8641975308641975,79.0
warehouse,0.8390804597701149,0.8902439024390244,0.8639053254437871,82.0
grocerystore,0.8554216867469879,0.8658536585365854,0.8606060606060606,82.0
bathroom,0.9041095890410958,0.8148148148148148,0.8571428571428571,81.0
elevator,0.9836065573770492,0.75,0.8510638297872339,80.0
auditorium,0.8607594936708861,0.8395061728395061,0.8500000000000001,81.0
stairscase,0.8333333333333334,0.8641975308641975,0.8484848484848484,81.0
casino,0.8552631578947368,0.8024691358024691,0.8280254777070064,81.0
videostore,0.8695652173913043,0.7792207792207793,0.821917808219178,77.0
greenhouse,0.8148148148148148,0.825,0.8198757763975155,80.0
bar,0.788235294117647,0.8481012658227848,0.8170731707317074,79.0
children_room,0.8611111111111112,0.775,0.8157894736842106,80.0
airport_inside,0.8157894736842105,0.7848101265822784,0.7999999999999999,79.0
laundromat,0.7857142857142857,0.8048780487804879,0.7951807228915663,82.0
corridor,0.7901234567901234,0.8,0.7950310559006211,80.0
winecellar,0.8026315789473685,0.782051282051282,0.7922077922077922,78.0
shoeshop,0.75,0.8354430379746836,0.7904191616766467,79.0
movietheater,0.7471264367816092,0.8227848101265823,0.7831325301204819,79.0
classroom,0.8108108108108109,0.75,0.7792207792207791,80.0
mall,0.7083333333333334,0.8607594936708861,0.7771428571428572,79.0
tv_studio,0.775,0.775,0.775,80.0
poolinside,0.7590361445783133,0.7875,0.7730061349693251,80.0
office,0.7590361445783133,0.7875,0.7730061349693251,80.0
subway,0.7252747252747253,0.825,0.7719298245614036,80.0
cloister,0.7530864197530864,0.782051282051282,0.7672955974842767,78.0
dining_room,0.7272727272727273,0.810126582278481,0.7664670658682634,79.0
kindergarden,0.7763157894736842,0.7564102564102564,0.7662337662337663,78.0
studiomusic,0.8142857142857143,0.7125,0.7599999999999999,80.0
laboratorywet,0.7763157894736842,0.7375,0.7564102564102564,80.0
hospitalroom,0.6938775510204082,0.8292682926829268,0.7555555555555555,82.0
bowling,0.8208955223880597,0.6962025316455697,0.7534246575342466,79.0
nursery,0.8088235294117647,0.6962025316455697,0.7482993197278912,79.0
museum,0.7746478873239436,0.7051282051282052,0.738255033557047,78.0
toystore,0.725,0.725,0.7250000000000001,80.0
bakery,0.7142857142857143,0.7317073170731707,0.7228915662650603,82.0
dentaloffice,0.7681159420289855,0.654320987654321,0.7066666666666667,81.0
pantry,0.7397260273972602,0.675,0.7058823529411764,80.0
garage,0.6987951807228916,0.7073170731707317,0.703030303030303,82.0
library,0.6790123456790124,0.7051282051282052,0.6918238993710691,78.0
artstudio,0.631578947368421,0.75,0.6857142857142857,80.0
operating_room,0.6555555555555556,0.7108433734939759,0.6820809248554914,83.0
jewelleryshop,0.6395348837209303,0.7142857142857143,0.6748466257668713,77.0
clothingstore,0.6122448979591837,0.75,0.6741573033707865,80.0
