,precision,recall,f1-score,support
artstudio,1.0,1.0,1.0,80.0
restaurant,1.0,1.0,1.0,79.0
closet,1.0,1.0,1.0,79.0
library,1.0,1.0,1.0,78.0
cloister,1.0,1.0,1.0,78.0
gym,1.0,1.0,1.0,78.0
laboratorywet,1.0,1.0,1.0,80.0
clothingstore,1.0,1.0,1.0,80.0
airport_inside,1.0,1.0,1.0,79.0
museum,1.0,1.0,1.0,78.0
greenhouse,1.0,1.0,1.0,80.0
jewelleryshop,1.0,1.0,1.0,77.0
computerroom,1.0,1.0,1.0,80.0
bowling,1.0,1.0,1.0,79.0
casino,1.0,1.0,1.0,81.0
waitingroom,1.0,1.0,1.0,80.0
classroom,1.0,1.0,1.0,80.0
children_room,1.0,1.0,1.0,80.0
pantry,1.0,1.0,1.0,80.0
videostore,1.0,1.0,1.0,77.0
auditorium,1.0,1.0,1.0,81.0
church_inside,1.0,1.0,1.0,80.0
inside_subway,1.0,1.0,1.0,81.0
nursery,1.0,1.0,1.0,79.0
winecellar,1.0,1.0,1.0,78.0
tv_studio,1.0,1.0,1.0,80.0
buffet,1.0,1.0,1.0,82.0
kindergarden,1.0,1.0,1.0,78.0
dining_room,1.0,1.0,1.0,79.0
trainstation,1.0,1.0,1.0,79.0
office,1.0,1.0,1.0,80.0
fastfood_restaurant,1.0,1.0,1.0,77.0
bar,1.0,1.0,1.0,79.0
dentaloffice,1.0,1.0,1.0,81.0
toystore,1.0,1.0,1.0,80.0
stairscase,1.0,1.0,1.0,81.0
bakery,1.0,1.0,1.0,82.0
bookstore,1.0,1.0,1.0,80.0
inside_bus,1.0,1.0,1.0,80.0
meeting_room,1.0,1.0,1.0,81.0
livingroom,1.0,1.0,1.0,81.0
laundromat,1.0,1.0,1.0,82.0
gameroom,1.0,1.0,1.0,80.0
restaurant_kitchen,1.0,1.0,1.0,82.0
warehouse,1.0,1.0,1.0,82.0
kitchen,1.0,1.0,1.0,82.0
movietheater,1.0,1.0,1.0,79.0
corridor,1.0,1.0,1.0,80.0
florist,1.0,1.0,1.0,79.0
concert_hall,1.0,1.0,1.0,81.0
prisoncell,1.0,1.0,1.0,79.0
deli,1.0,1.0,1.0,80.0
locker_room,1.0,1.0,1.0,82.0
hospitalroom,1.0,1.0,1.0,82.0
elevator,1.0,1.0,1.0,80.0
operating_room,1.0,1.0,1.0,83.0
bedroom,1.0,1.0,1.0,79.0
lobby,1.0,1.0,1.0,79.0
garage,0.9879518072289156,1.0,0.993939393939394,82.0
grocerystore,1.0,0.9878048780487805,0.9938650306748467,82.0
bathroom,0.9878048780487805,1.0,0.9938650306748467,81.0
poolinside,0.9876543209876543,1.0,0.9937888198757764,80.0
studiomusic,1.0,0.9875,0.9937106918238994,80.0
hairsalon,0.9875,1.0,0.9937106918238994,79.0
subway,1.0,0.9875,0.9937106918238994,80.0
shoeshop,1.0,0.9873417721518988,0.9936305732484078,79.0
mall,0.9873417721518988,0.9873417721518988,0.9873417721518988,79.0
